delta,count
3322,1
3327,1
3362,1
3381,1
3391,1
3424,1
3442,1
3467,1
3476,1
3525,1
3582,1
3602,1
3644,1
3669,1
3727,1
3763,1
3781,1
3809,1
3822,1
3862,1
3863,1
3865,1
3942,1
3949,1
3996,1
4016,1
4041,1
4062,1
4097,1
4103,1
4162,1
4163,1
4164,1
4182,1
4200,1
4223,1
4228,1
4313,1
4374,1
4383,1
4402,1
4423,1
4462,1
4503,1
4621,1
4661,1
4664,1
4701,1
4782,1
4805,1
4933,1
5082,1
5162,1
5222,1
5302,1
5463,1
5538,1
5711,1
5797,1
6143,1
6156,1
6285,1
6325,1
6422,1
6582,1
6767,1
7785,1
8284,1
9304,1
,19003
(810 rows)
